Економіка	❗️Завтра відключення електроенергії для населення НЕ прогнозується, – Укренерго  Графіки, можливо, будуть застосовані тільки для Полтавщини та Харківщини.  Телеграмна служба новин | Підписатися
Тактична інформація	💥Українські військові збили над Донеччиною російський Су-25, – 110-ї бригада  Це вже 4 повітряне судно з початку травня.   Телеграмна служба новин | Підписатися
Культура	🪄Фанати «Гаррі Поттера» тут? Є класна новина  Кулінарне шоу «Чарівники випічки» вийде за мотивами «Гаррі Поттера».  Ведучими стануть близнюки Фред та Джордж Візлі. Учасники змагатимуться у готуванні магічних страв на локаціях з фільмів – «Нора», банк «Грінготс», платформа 9 і Хогвартс. Перша серія вийде у різдвяні свята🎄  Телеграмна служба новин | Підписатися
Спорт	🔥Останні приготування перед початком бою  Будете дивитись бій? 👍🏻/👎🏻  Телеграмна служба новин | Підписатися
Тактична інформація	Харків укриття
Тактична інформація	Ще одна
Тактична інформація	Ціль припинила існування на Сумщині Можливо відпрацював РЕБ
Війна	На Київщині знайшли та знешкодили гранату встановлену на розтяжці рашистами Вибухонебезпечну знахідку знайшли в лісі у Броварському районі Це була граната Ф встановлена на розтяжці та закріплена на дереві окупантами Боєприпас було знищено шляхом контрольованого підриву на спеціальному майданчику Надіслати новину novosti kieva bot ПІДПИСАТИСЯ
Війна	Міноборони запустило електронну чергу в ТЦК Зараз відбувається тестування тож поки попередній запис можливий в ТЦК в окремих центрах Києва Харкова Одеси Дніпра Сум Вінниці та Кропивницького Зокрема у Києві поки це Дарницький Шевченківський та Печерський ТЦК На Київщині Обухівський та Фастівський ТЦК Як записатись до е черги Виберіть ТЦК та СП в якому ви перебуваєте на обліку або за місцем вашої актуальної реєстрації за посиланням https q mod gov ua registration place Введіть ваші персональні дані для запису Підтвердіть номер телефону Отримайте повідомлення з датою та часом вашого візиту Детальніше за посиланням https t me ngF LJCrf Nzgx Надіслати новину novosti kieva bot ПІДПИСАТИСЯ
Війна	Повістки після оновення даних в ЦНАПах не видають бо за цими установами не закріплено таких функцій Про це повідомила директорка департаменту ЦНАП КМДА Наталія Шамрай в коментарі РБК Україна Хочу підкреслити що повістки видає тільки ТЦК І відправляти на ВЛК теж можуть виключно тільки ТЦК Нам як ЦНАПам таких повноважень не надавали наголосила Шамрай Надіслати новину novosti kieva bot ПІДПИСАТИСЯ
Війна	Киянин розповів як оновлював дані в ЦНАПі Я у черзі просидів години а оновив дані за хвилин і отримав витяг Надіслати новину novosti kieva bot ПІДПИСАТИСЯ
Війна	У Міноборони наголошують що врученою вважається лише та повістка яка видається під особистий підпис людині інших варіантів поки не передбачено речник Міністерства оборони Лазуткін Детальніше про оновлені правила мобілізації тут https t me ngF LJCrf Nzgx Надіслати новину novosti kieva bot ПІДПИСАТИСЯ
Інцеденти	Повідомляють про масштабну пожежу на Видубичах Уточнюємо обставини та об єкт займання Надіслати новину novosti kieva bot ПІДПИСАТИСЯ
Економіка	Завтра відключення електроенергії для населення не прогнозується повідомляють в Укренерго Надіслати новину novosti kieva bot ПІДПИСАТИСЯ
Війна	За сьогодні у столичних ЦНАПах оновили свої дані військовозобов язаних Як розповіла директорка ЦНАПу Шамрай із них громадян вже отримали підтвердження у формі витягу з системи Вона додає що у перший день надання послуги система працювала стабільно проблем не виникало а сама процедура займає не більше хвилин Надіслати новину novosti kieva bot ПІДПИСАТИСЯ
Спорт	LIVE УСИК vs Ф ЮРІ ONLINE Вже йде вихід Олександра Усика на бій Пряму трансляцію бою прямо в Telegram дивитись на каналі LATERAL Усик Ф юрі ДИВИТИСЬ БІЙ В TELEGRAM HD ПРЯМА ТРАНСЛЯЦІЯ
Культура	Сьогодні у Києві біля Газону Національної Пам яті на Майдані Незалежності відбувся молебень у пам ять про жертв геноциду кримськотатарського народу у році Всі хто зібралися вшанували пам ять загиблих військових у російсько українській війні та депортованих кримських татар Надіслати новину novosti kieva bot ПІДПИСАТИСЯ
Економіка	Що робити якщо дані військовозобов язаного не оновлюються в ЦНАПі Директорка департаменту ЦНАП КМДА каже що бувають випадки що в отриманні витягу в системі бувають і відмови В таких ситуаціях працівник ЦНАПу бачить що користувач отримав відмову але при цьому немає даних про те з яких причин це відбулося каже Шамрай у коментарі РБК Україна Це означає що ми не можемо впливати на цей процес Тому якщо система видала відмову у видачі витягу то зазвичай там написано що треба робити й куди звертатися або для коректного внесення даних в систему або ще для якихось дій розповідає вона Якщо є відмова то людині треба звертатись в ТЦК додає директорка департаменту Надіслати новину novosti kieva bot ПІДПИСАТИСЯ
Тактична інформація	Зафіксовано зліт Ту м з ае Енгельс Злетів він щоб доставити боєприпаси в інший регіон рф Загрози від ТУшек на даний момент немає Надіслати новину novosti kieva bot ПІДПИСАТИСЯ
Тактична інформація	БпЛА Шахед із Чернігівщини у напрямку Полтавщини Київщини Надіслати новину novosti kieva bot ПІДПИСАТИСЯ
Тактична інформація	В ОБЛАСТІ ОГОЛОШЕНА ПОВІТРЯНА ТРИВОГА УСІ В УКРИТТЯ Надiслати новину novosti kieva bot ПІДПИСАТИСЯ
Тактична інформація	Шахед вектором на Переяслав Надіслати новину novosti kieva bot ПІДПИСАТИСЯ
